set,attribute,score
199,Technologist,3.1
199,Modeller,2.8
200,Programmer,5.8
200,Communicator,5.1
200,Modeller,3.6
200,Visualiser,3.2
200,Data Wrangler,2.8
200,Technologist,2
201,Visualiser,4.5
201,Programmer,4.2
201,Communicator,3.8
201,Modeller,3.2
201,Data Wrangler,2.6
201,Technologist,2.1
202,Programmer,5.8
202,Visualiser,5.3
202,Technologist,4.4
202,Modeller,3.6
202,Communicator,3.2
202,Data Wrangler,2.1
203,Programmer,4.7
203,Communicator,4.2
203,Technologist,3.6
203,Data Wrangler,2.4
203,Visualiser,2.2
203,Modeller,1.5
204,Technologist,4.4
204,Modeller,4
204,Programmer,3.6
204,Visualiser,2.7
